observation_id,vin,target_id,observed_at,scan_id,price_cad,mileage_km,listing_url,listing_id,year,make,model,trim
obs_52e92ce1227c,1FTEW1EPXPKD47088,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,,36488,https://www.clutch.ca/vehicles/102032,102032,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_ec9ad7b30667,1FTEW1EPXPFC35464,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,51590,53406,https://www.clutch.ca/vehicles/105080,105080,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_bf375b5cd6ef,1FTEW1EP7PKD72756,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,50290,65866,https://www.clutch.ca/vehicles/108102,108102,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_4a49c812cb0e,1FTEW1EP4PKE25977,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,,57526,https://www.clutch.ca/vehicles/103821,103821,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_381adf9d4f24,1FTEW1EP0PKE73329,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,50290,39844,https://www.clutch.ca/vehicles/104836,104836,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_c660e33f521f,1FTFW1ED7NFB35619,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,53890,54137,https://www.clutch.ca/vehicles/104904,104904,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
obs_9c4971783b4f,1FTFW1E8XNFB55365,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,46790,73852,https://www.clutch.ca/vehicles/95507,95507,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_b25eb621b796,1FTFW1E87NKD85369,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,47190,84000,https://www.clutch.ca/vehicles/102753,102753,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_49cf35f8a9ce,1FTFW1E86NKE45819,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,47090,41017,https://www.clutch.ca/vehicles/106890,106890,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_61cebf333251,1FTFW1E86NKD91289,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,46390,40842,https://www.clutch.ca/vehicles/101542,101542,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_156037244f33,1FTFW1E85NFA75004,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,41090,71642,https://www.clutch.ca/vehicles/104121,104121,2022,Ford,F-150,XLT 301A Crew Cab Standard Bed
obs_595bbd377c26,1FTFW1E83NKF22937,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,41090,76946,https://www.clutch.ca/vehicles/106011,106011,2022,Ford,F-150,XLT 301A Crew Cab Short Bed
obs_c68d97e361b9,1FTFW1E83NKD64034,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,52490,53993,https://www.clutch.ca/vehicles/106003,106003,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
obs_d44e13cfd41c,1FTEW1EPXNFB39637,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,44690,67520,https://www.clutch.ca/vehicles/107926,107926,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_876bc9db3d0f,1FTEW1EP7NKF17825,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,43390,15023,https://www.clutch.ca/vehicles/102091,102091,2022,Ford,F-150,XLT 300A Crew Cab Short Bed
obs_e22d3340765b,1FTEW1EP7NFB17238,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,44690,60000,https://www.clutch.ca/vehicles/103912,103912,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_c23979c14ac0,1FTEW1EP6NFA33444,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,,64791,https://www.clutch.ca/vehicles/98122,98122,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_5600d6929e2a,1FTFW1ED9MFB39024,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,37990,116244,https://www.clutch.ca/vehicles/99752,99752,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_104be97307c6,1FTFW1E83MFB22044,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,39390,97385,https://www.clutch.ca/vehicles/101784,101784,2021,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_177b3ae60c1e,1FTFW1E80MFB22261,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,39590,110672,https://www.clutch.ca/vehicles/107326,107326,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_73b0464129a8,1FTEW1EP2MFA74619,ford-f150-ontario,2026-06-17T22:59:06-04:00,clutch_ford_f150_ontario_20260617_225906,38690,122054,https://www.clutch.ca/vehicles/106773,106773,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_e367e2068019,1FTEW1EP2MFB72646,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,40690,108488,https://www.clutch.ca/vehicles/95745,95745,2021,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_510e935b0578,1FTEW1EP4PKE25977,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,56890,57526,https://www.clutch.ca/vehicles/103821,103821,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_0219bc29b1d1,1FTEW1EP6NFA33444,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,45590,64791,https://www.clutch.ca/vehicles/98122,98122,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_e134100a3e80,1FTFW1E83NKD64034,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,52490,53993,https://www.clutch.ca/vehicles/106003,106003,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
obs_6aec4b41ef8f,1FTFW1E87NKD85369,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,46890,84000,https://www.clutch.ca/vehicles/102753,102753,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_6b878774dfee,1FTFW1E8XNFB55365,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,46990,73852,https://www.clutch.ca/vehicles/95507,95507,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_6a3596750915,1FTFW1ED3PFB50802,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,60490,19805,https://www.clutch.ca/vehicles/105109,105109,2023,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_4dba8e61f523,1FTFW1ED7NFB35619,ford-f150-ontario,2026-06-18T00:00:07-04:00,clutch_ford_f150_ontario_20260618_000007,53890,54137,https://www.clutch.ca/vehicles/104904,104904,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
